sensor,left_sensor,left_sensor,left_sensor,left_sensor,left_sensor,left_sensor,right_sensor,right_sensor,right_sensor,right_sensor,right_sensor,right_sensor
axis,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0,9.408650477990726,0.8808107066241603,2.7622080650315675,-0.06226105420289059,-0.11240170597252426,-0.03215716519203072,9.513275480139699,-0.3115525903932147,2.3986460950756583,-0.025288150801127177,0.3230373811130934,-0.0846041735673653
1,9.465895052346951,0.8850068718083505,2.746447907459329,-0.719601252309898,0.07392088948359403,0.1011077533556774,9.584279290783856,-0.3170229232786327,2.3632936546607977,0.15209018828027807,0.07596053258325089,0.035851215807326656
2,9.436032779043474,0.8657773098030204,2.686105614074954,-0.7796844864032578,0.07418249919722965,0.1023235077483143,9.570156365021885,-0.35507165946691416,2.401945550596508,-0.028626157177469178,0.20037800867153388,-0.20653779210525672
3,9.403942719542204,0.8761276320269403,2.771787286697148,-0.12064467267943328,0.009969321856058278,0.029009751651549526,9.565812689489617,-0.2881055678310055,2.3876128480379792,-0.3902021443626691,-0.34791244878390465,-0.07557390648400195
4,9.393766058836185,0.9282671736202406,2.6822856540362388,-0.36153078027637653,-0.1108053964448583,0.034536603088496716,9.541390803938155,-0.35008149834861674,2.3884026980124857,0.09389513986510518,0.2605335999971613,-0.025164476673931842
5,9.371929456289706,0.948315510374584,2.8053383006144985,-0.421746731325939,-0.29320415279080486,0.09758880053731232,9.502528999220791,-0.3833088836848973,2.3608893004438363,-0.1463602217195019,0.14028638522648296,-0.08179527605301108
6,9.407971536279277,0.8615242305669248,2.734039364446893,-0.2972594287887063,0.011696114210007835,0.2756959432781407,9.50338088734383,-0.3354097316463952,2.389415959807769,-0.1423208347906913,0.3243073729311585,0.03985358073409043
7,9.44729014231293,0.9186624796272338,2.75152527854202,-0.0004686846022378442,-0.1121790202563368,0.08825181989116793,9.4604012982951,-0.33505799051888163,2.385819416535576,-0.08923578448039797,0.2622103328834281,-0.32819301118485095
8,9.407966700861776,0.8662767109695705,2.7293045776582225,0.359395162090036,0.1294801088119693,-0.04188915523136052,9.527445288650805,-0.3260224589619889,2.3982858565266865,0.27156540010904107,0.19735279948932838,-0.027921560337465002
