gyr_pa,gyr_si,gyr_ml
-0.016772,-0.0032245,-0.35861
-0.018609,-0.0047627,-0.38089
-0.020577,-0.0073128,-0.40513
-0.02399,-0.011232,-0.43302
-0.030237,-0.016573,-0.46478
-0.03942,-0.0234,-0.50035
-0.050003,-0.03118,-0.53839
-0.061684,-0.039036,-0.57655
-0.075072,-0.047247,-0.61434
-0.08708,-0.054952,-0.65046
-0.099848,-0.061842,-0.68602
-0.11306,-0.068492,-0.7211
-0.12867,-0.076621,-0.76001
-0.14774,-0.085567,-0.8034
-0.16792,-0.093728,-0.84647
-0.18629,-0.10045,-0.88225
-0.20267,-0.10451,-0.90994
-0.21308,-0.10638,-0.92903
-0.21953,-0.10829,-0.94434
-0.22518,-0.10966,-0.95894
-0.23284,-0.11302,-0.97851
-0.24131,-0.11699,-0.99925
